DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1991/01/09 22:09:04.80,35.9055,-120.449,5.759,3.13,Md,50,59,3,0.05,NCSN,204449
1991/01/14 09:07:32.17,36.184,-120.36083,12.234,3.58,Md,14,279,12,0.11,NCSN,204711
1991/01/21 02:47:27.01,35.78083,-120.331,8.018,2.93,Md,53,42,6,0.03,NCSN,205072
1991/01/21 16:28:43.95,36.236,-120.7945,8.176,2.91,Md,65,82,2,0.07,NCSN,205090
1991/02/04 02:07:21.03,35.78083,-120.331,8.088,2.8,Md,49,42,6,0.03,NCSN,205831
1991/02/24 02:39:36.48,36.21017,-120.32883,9.967,3.1,ML,41,56,5,0.06,NCSN,207162
1991/02/27 00:16:20.41,35.802,-119.97784,4.462,3.09,Md,46,138,7,0.24,NCSN,207321
1991/03/03 17:40:16.22,36.3415,-120.906,9.272,3.26,Md,57,83,4,0.07,NCSN,207504
1991/03/26 05:42:15.33,36.08183,-120.19033,12.86,2.72,Md,49,80,8,0.09,NCSN,208848
1991/03/26 08:31:25.72,36.07967,-120.18684,12.72,2.66,Md,46,80,7,0.12,NCSN,220507
1991/03/26 09:46:41.64,36.07433,-120.1845,11.94,2.54,Md,34,77,7,0.1,NCSN,208919
1991/04/09 14:00:22.97,35.85433,-120.39616,4.488,2.96,Md,49,40,3,0.04,NCSN,210184
1991/05/10 12:39:30.33,36.1985,-120.76,7.66,3.06,Md,52,134,4,0.06,NCSN,212245
1991/05/12 09:42:46.28,36.15467,-120.23133,10.837,2.82,Md,44,82,15,0.09,NCSN,212389
1991/05/16 12:46:09.01,36.289,-119.8565,17.885,2.55,Md,46,137,21,0.37,NCSN,213195
1991/05/22 01:18:58.14,36.4355,-120.60733,12.416,3,ML,94,51,20,0.17,NCSN,214367
1991/06/06 22:00:37.39,36.781,-120.884,1.325,2.56,Md,55,104,9,0.06,NCSN,218710
1991/06/17 07:32:11.75,36.17233,-120.72884,8.87,2.85,Md,61,63,7,0.07,NCSN,220368
1991/06/29 23:26:16.56,36.78167,-120.27467,11.754,2.57,Md,21,127,48,0.67,NCSN,223119
1991/07/06 18:51:10.59,36.28933,-120.84967,10.002,2.63,Md,58,58,8,0.05,NCSN,223762
1991/08/06 01:03:54.97,36.0595,-120.61134,5.672,3,Md,59,48,2,0.07,NCSN,226161
1991/08/30 09:30:19.91,36.15667,-120.207,5.307,2.62,Md,38,117,15,0.13,NCSN,229187
